zone,machine,latitude,longitude
1A,n01,42.843192,-2.669368
1A,n02,42.844329,-2.671206
1A,n03,42.844722,-2.673517
1A,n04,42.846017,-2.674048
1A,n05,42.842084,-2.676660
1A,n06,42.843940,-2.678364
1A,n07,42.843167,-2.676180
1A,n08,42.845886,-2.676431
1A,n09,42.843505,-2.676943
1A,n10,42.842216,-2.671651
1B,n11,42.841651,-2.663999
1B,n12,42.842585,-2.666392
1B,n13,42.845994,-2.666712
1B,n14,42.845354,-2.668020
1B,n15,42.844447,-2.667477
1B,n16,42.843993,-2.664345
1B,n17,42.843371,-2.667994
1B,n18,42.846112,-2.665283
1B,n19,42.844210,-2.667207
1B,n20,42.846282,-2.664841
2A,n21,42.854717,-2.668962
2A,n22,42.851766,-2.662751
2A,n23,42.847319,-2.662746
2A,n24,42.852346,-2.668313
2A,n25,42.852195,-2.666933
2A,n26,42.847209,-2.662913
2A,n27,42.848920,-2.672195
2A,n28,42.851552,-2.671803
2A,n29,42.847819,-2.672450
2A,n30,42.848879,-2.669770
2B,n31,42.852872,-2.677976
2B,n32,42.854209,-2.676412
2B,n33,42.851632,-2.674028
2B,n34,42.852995,-2.679119
2B,n35,42.854321,-2.675353
2B,n36,42.853523,-2.673979
2B,n37,42.852388,-2.674029
2B,n38,42.855262,-2.674785
2B,n39,42.852070,-2.674191
2B,n40,42.854413,-2.677201
2C,n41,42.849384,-2.677384
2C,n42,42.850134,-2.676031
2C,n43,42.848232,-2.677220
2C,n44,42.847121,-2.673524
2C,n45,42.847966,-2.676557
2C,n46,42.848313,-2.678718
2C,n47,42.847944,-2.678839
2C,n48,42.848255,-2.677798
2C,n49,42.850177,-2.677765
2C,n50,42.850349,-2.675315
